sample_id,domain,question,ground_truth_answer,retrieved_context,llm_response_without_rag,llm_response_with_rag,hallucination_label_without_rag,hallucination_label_with_rag,hallucination_type,factual_consistency_score,context_relevance_score,source_support_label,final_target_label
3333,history,Please answer briefly: Who discovered America in 1492 according to traditional European accounts?,Christopher Columbus,Christopher Columbus reached the Americas in 1492 according to traditional European accounts.,Ferdinand Magellan.,The context supports this answer: Christopher Columbus.,1,0,unsupported_claim,0.05,0.73,supported,0
3334,health,I need the correct answer: Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,Carbohydrates.,"According to the retrieved context, Carbohydrates.",0,0,none,0.9,0.77,supported,0
3335,health,Please answer briefly: Which organ pumps blood through the body?,The heart,The heart pumps blood throughout the body.,It is commonly stated as The liver.,The context supports this answer: The heart.,1,0,unsupported_claim,0.18,0.85,supported,0
3336,chemistry,I need the correct answer: What is NaCl commonly known as?,Salt,NaCl is commonly known as salt.,It is commonly stated as Chlorine.,"Based on the provided context, the correct answer is Salt.",1,0,contradiction,0.29,0.85,supported,0
3337,physics,I need the correct answer: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 299,792 km/s, but it is sometimes confused with About 1,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,partially_correct,0.55,0.84,supported,0
3338,geography,I need the correct answer: What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,Australia.,The context supports this answer: Australia.,0,0,none,0.99,0.84,supported,0
3339,history,Please answer briefly: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,The answer is Joan of Arc.,"Using the retrieved evidence, Joan of Arc.",0,0,none,0.94,1.0,supported,0
3340,technology,Can you answer this: What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",It is Central Processing Unit.,The context supports this answer: Central Processing Unit.,0,0,none,0.99,0.85,supported,0
3341,health,Please answer briefly: What mineral is important for strong bones?,Calcium,Calcium is important for strong bones and teeth.,It is Calcium.,"Based on the provided context, the correct answer is Calcium.",0,0,none,0.99,0.76,supported,0
3342,science,What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,Hydrogen.,"Using the retrieved evidence, Carbon dioxide.",1,0,unsupported_claim,0.29,0.93,supported,0
3343,finance,I need the correct answer: What is profit?,Revenue minus costs,Profit is what remains when costs are subtracted from revenue.,Revenue minus costs.,The context supports this answer: Revenue minus costs.,0,0,none,0.86,0.9,supported,0
3344,technology,Please answer briefly: What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",Core Processing Unit.,"According to the retrieved context, Central Processing Unit.",1,0,factual_error,0.03,0.9,supported,0
3345,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,6.,The context supports this answer: 7.,1,0,unsupported_claim,0.17,0.97,supported,0
3346,technology,What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,It is commonly stated as Automatic Internet.,"Based on the provided context, the correct answer is Artificial Intelligence.",1,0,contradiction,0.26,0.76,supported,0
3347,history,Please answer briefly: In which year did World War II end?,1945,World War II ended in 1945.,It is 1945.,The context supports this answer: 1945.,0,0,none,0.89,0.87,supported,0
3348,literature,I need the correct answer: Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,The answer is Mark Twain.,"Based on the context, the answer is Mark Twain.",1,1,contradiction,0.48,0.66,partially_supported,1
3349,technology,"Using reliable knowledge, What does CPU stand for?",Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",It is Central Processing Unit.,"Based on the provided context, the correct answer is Central Processing Unit.",0,0,none,0.92,0.75,supported,0
3350,health,Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,The answer is Vitamin D.,"Using the retrieved evidence, Vitamin D.",0,0,none,0.99,0.98,supported,0
3351,health,Please answer briefly: Which organ filters blood to produce urine?,Kidneys,The kidneys filter blood to produce urine.,It is commonly stated as Lungs.,The context supports this answer: Kidneys.,1,0,contradiction,0.09,0.87,supported,0
3352,finance,"Using reliable knowledge, What is a recession?",A significant decline in economic activity,A recession is a significant decline in economic activity.,It is A significant decline in economic activity.,"According to the retrieved context, A significant decline in economic activity.",0,0,none,0.98,0.78,supported,0
3353,physics,I need the correct answer: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","It is commonly stated as About 150,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,unsupported_claim,0.17,0.88,supported,0
3354,finance,"Using reliable knowledge, What is a loan?",Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is A salary payment.,"Using the retrieved evidence, Borrowed money that must be repaid.",1,0,contradiction,0.19,0.75,supported,0
3355,literature,"Using reliable knowledge, Who wrote '1984'?",George Orwell,George Orwell wrote the novel '1984'.,Ernest Hemingway.,"Using the retrieved evidence, George Orwell.",1,0,factual_error,0.28,0.9,supported,0
3356,chemistry,What is NaCl commonly known as?,Salt,NaCl is commonly known as salt.,It is commonly stated as Chlorine.,"According to the retrieved context, Salt.",1,0,unsupported_claim,0.31,0.83,supported,0
3357,chemistry,Can you answer this: What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,"Au, but it is sometimes confused with Ag.","Based on the provided context, the correct answer is Au.",1,0,partially_correct,0.63,0.72,supported,0
3358,science,"Using reliable knowledge, What process do plants use to make food?",Photosynthesis,Plants use photosynthesis to make food.,The answer is Respiration.,"Based on the provided context, the correct answer is Photosynthesis.",1,0,factual_error,0.16,0.88,supported,0
3359,chemistry,"Using reliable knowledge, What is H2O commonly called?",Water,H2O is the chemical formula for water.,The answer is Oxygen.,"Based on the provided context, the correct answer is Water.",1,0,factual_error,0.31,0.85,supported,0
3360,literature,Can you answer this: Who wrote 'Pride and Prejudice'?,Jane Austen,Jane Austen wrote 'Pride and Prejudice'.,It is commonly stated as Charlotte Brontë.,"Based on the provided context, the correct answer is Jane Austen.",1,0,contradiction,0.37,0.88,supported,0
3361,history,"Using reliable knowledge, Who wrote the Declaration of Independence?",Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,The answer is George Washington.,The context supports this answer: Thomas Jefferson.,1,0,factual_error,0.32,0.94,supported,0
3362,health,What is hypertension?,High blood pressure,Hypertension is another term for high blood pressure.,High blood pressure.,The context supports this answer: High blood pressure.,0,0,none,1.0,0.99,supported,0
3363,history,I need the correct answer: Who was the first President of the United States?,George Washington,George Washington served as the first President of the United States from 1789 to 1797.,George Washington.,"Based on the provided context, the correct answer is George Washington.",0,0,none,0.98,0.85,supported,0
3364,history,Can you answer this: Who wrote the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,It is Thomas Jefferson.,"Using the retrieved evidence, Thomas Jefferson.",0,0,none,0.96,0.97,supported,0
3365,biology,I need the correct answer: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,Nitrogen only.,"Based on the context, Oxygen, although some sources mention Helium.",1,1,partially_correct,0.77,0.86,partially_supported,1
3366,science,Can you answer this: What planet is known as the Red Planet?,Mars,Mars is often called the Red Planet because iron oxide on its surface gives it a reddish appearance.,The answer is Mercury.,"Using the retrieved evidence, Mars.",1,0,unsupported_claim,0.12,0.84,supported,0
3367,geography,I need the correct answer: What is the capital of France?,Paris,Paris is the capital and most populous city of France.,It is commonly stated as Lyon.,"Based on the context, the answer is Nice.",1,1,factual_error,0.26,0.64,not_supported,1
3368,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,South America.,The context supports this answer: Africa.,1,0,unsupported_claim,0.22,0.78,supported,0
3369,finance,Can you answer this: What is a recession?,A significant decline in economic activity,A recession is a significant decline in economic activity.,It is commonly stated as A rapid rise in profits.,"According to the retrieved context, A significant decline in economic activity.",1,0,unsupported_claim,0.06,0.76,supported,0
3370,technology,Please answer briefly: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,"HyperText Markup Language, but it is sometimes confused with HighText Markdown Language.","According to the retrieved context, HyperText Markup Language.",1,0,partially_correct,0.61,0.88,supported,0
3371,technology,I need the correct answer: What is cloud computing?,Delivering computing services over the internet,Cloud computing means delivering computing services over the internet.,The answer is Delivering computing services over the internet.,"Based on the provided context, the correct answer is Delivering computing services over the internet.",0,0,none,0.92,0.95,supported,0
3372,physics,Please answer briefly: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 3,000 km/s.","According to the retrieved context, About 299,792 km/s.",1,0,factual_error,0.09,0.87,supported,0
3373,chemistry,What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,The answer is 7.,"Using the retrieved evidence, 7.",0,0,none,0.95,0.87,supported,0
3374,biology,"Using reliable knowledge, What organelle is known as the powerhouse of the cell?",Mitochondria,Mitochondria are known as the powerhouse of the cell.,Ribosomes.,"Using the retrieved evidence, Mitochondria.",1,0,contradiction,0.12,0.98,supported,0
3375,biology,Can you answer this: What is the basic unit of life?,The cell,The cell is the basic structural and functional unit of life.,The cell.,The context supports this answer: The cell.,0,0,none,0.99,0.98,supported,0
3376,chemistry,"Using reliable knowledge, What is NaCl commonly known as?",Salt,NaCl is commonly known as salt.,"Salt, but it is sometimes confused with Chlorine.","According to the retrieved context, Salt.",1,0,partially_correct,0.49,0.77,supported,0
3377,technology,Can you answer this: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,"HyperText Markup Language, but it is sometimes confused with Hyperlink Text Main Language.","According to the retrieved context, HyperText Markup Language.",1,0,partially_correct,0.66,0.94,supported,0
3378,health,Please answer briefly: Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,The answer is Vitamin D.,"Based on the provided context, the correct answer is Vitamin D.",0,0,none,0.99,0.95,supported,0
3379,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,7.,"Based on the provided context, the correct answer is 7.",0,0,none,0.99,0.94,supported,0
3380,health,I need the correct answer: Which organ filters blood to produce urine?,Kidneys,The kidneys filter blood to produce urine.,Kidneys.,"Based on the provided context, the correct answer is Kidneys.",0,0,none,0.95,0.95,supported,0
3381,history,Can you answer this: The Great Wall is primarily located in which country?,China,The Great Wall is primarily located in China.,It is commonly stated as Pakistan.,"Based on the provided context, the correct answer is China.",1,0,factual_error,0.11,0.85,supported,0
3382,physics,I need the correct answer: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 150,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,contradiction,0.27,0.98,supported,0
3383,finance,Can you answer this: What is profit?,Revenue minus costs,Profit is what remains when costs are subtracted from revenue.,It is commonly stated as A tax bill.,"According to the retrieved context, Revenue minus costs.",1,0,contradiction,0.11,0.92,supported,0
3384,physics,"Using reliable knowledge, What is the speed of light in vacuum?","About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 3,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,factual_error,0.27,0.83,supported,0
3385,finance,Can you answer this: What is inflation?,A general rise in prices,Inflation is a general rise in prices over time.,It is commonly stated as A fall in prices.,"Using the retrieved evidence, A general rise in prices.",1,0,contradiction,0.19,0.8,supported,0
3386,finance,"Using reliable knowledge, What is a loan?",Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",Borrowed money that must be repaid.,"Based on the provided context, the correct answer is Borrowed money that must be repaid.",0,0,none,0.98,0.98,supported,0
3387,technology,What does URL stand for?,Uniform Resource Locator,URL stands for Uniform Resource Locator.,Uniform Resource Locator.,The context supports this answer: Uniform Resource Locator.,0,0,none,1.0,0.89,supported,0
3388,geography,"Using reliable knowledge, Mount Everest lies on the border of Nepal and which country?",China,Mount Everest lies on the border between Nepal and China.,It is China.,"According to the retrieved context, China.",0,0,none,1.0,0.99,supported,0
3389,science,"Using reliable knowledge, What is the center of an atom called?",The nucleus,The center of an atom is called the nucleus.,The shell.,"Using the retrieved evidence, The nucleus.",1,0,contradiction,0.27,0.98,supported,0
3390,science,"Using reliable knowledge, What planet is known as the Red Planet?",Mars,Mars is often called the Red Planet because iron oxide on its surface gives it a reddish appearance.,The answer is Mars.,"According to the retrieved context, Mars.",0,0,none,1.0,0.84,supported,0
3391,finance,Please answer briefly: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,A one-time fee only.,"According to the retrieved context, The cost of borrowing money or reward for saving.",1,0,factual_error,0.14,0.88,supported,0
3392,health,"Using reliable knowledge, What is the normal unit used to measure body temperature?",Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,The answer is Meters.,"Based on the provided context, the correct answer is Degrees Celsius or Fahrenheit.",1,0,factual_error,0.05,0.79,supported,0
3393,science,What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,The answer is Digestion.,The context supports this answer: Photosynthesis.,1,0,unsupported_claim,0.22,0.74,supported,0
3394,geography,Please answer briefly: What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,The answer is South America.,"According to the retrieved context, Australia.",1,0,factual_error,0.22,0.99,supported,0
3395,science,Please answer briefly: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,The answer is Photosynthesis.,The context supports this answer: Photosynthesis.,0,0,none,0.93,0.84,supported,0
3396,physics,Can you answer this: What device measures temperature?,Thermometer,A thermometer measures temperature.,Thermometer.,"Based on the provided context, the correct answer is Thermometer.",0,0,none,0.93,0.95,supported,0
3397,geography,Mount Everest lies on the border of Nepal and which country?,China,Mount Everest lies on the border between Nepal and China.,The answer is China.,"According to the retrieved context, China.",0,0,none,0.99,0.83,supported,0
3398,history,I need the correct answer: Which empire built the Colosseum?,The Roman Empire,The Colosseum was built during the Roman Empire.,The answer is The Greek Empire.,The context supports this answer: The Roman Empire.,1,0,unsupported_claim,0.1,0.85,supported,0
3399,physics,I need the correct answer: What device measures temperature?,Thermometer,A thermometer measures temperature.,Speedometer.,"Using the retrieved evidence, Thermometer.",1,0,contradiction,0.19,0.96,supported,0
3400,science,Can you answer this: What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,The answer is Oxygen.,"According to the retrieved context, Carbon dioxide.",1,0,contradiction,0.28,0.83,supported,0
3401,history,I need the correct answer: Who was the first President of the United States?,George Washington,George Washington served as the first President of the United States from 1789 to 1797.,Abraham Lincoln.,"Based on the provided context, the correct answer is George Washington.",1,0,factual_error,0.35,0.82,supported,0
3402,history,"Using reliable knowledge, The Great Wall is primarily located in which country?",China,The Great Wall is primarily located in China.,Pakistan.,"Using the retrieved evidence, China.",1,0,factual_error,0.37,0.79,supported,0
3403,literature,Please answer briefly: Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,Jane Austen.,"Using the retrieved evidence, William Shakespeare.",1,0,factual_error,0.07,0.93,supported,0
3404,health,"Using reliable knowledge, What is hypertension?",High blood pressure,Hypertension is another term for high blood pressure.,The answer is High blood pressure.,The context supports this answer: High blood pressure.,0,0,none,0.97,1.0,supported,0
3405,chemistry,Please answer briefly: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,7.,The context supports this answer: 7.,0,0,none,0.9,0.77,supported,0
3406,history,I need the correct answer: Which empire built the Colosseum?,The Roman Empire,The Colosseum was built during the Roman Empire.,The answer is The British Empire.,"Using the retrieved evidence, The Roman Empire.",1,0,factual_error,0.04,0.96,supported,0
3407,health,Can you answer this: Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,Red blood cells.,"According to the retrieved context, White blood cells.",1,0,contradiction,0.38,0.82,supported,0
3408,health,Please answer briefly: Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,Proteins.,"Using the retrieved evidence, Carbohydrates.",1,0,unsupported_claim,0.36,0.81,supported,0
3409,chemistry,I need the correct answer: What is NaCl commonly known as?,Salt,NaCl is commonly known as salt.,Baking soda.,The context supports this answer: Salt.,1,0,contradiction,0.29,0.97,supported,0
3410,geography,What is the capital of France?,Paris,Paris is the capital and most populous city of France.,Paris.,The context supports this answer: Paris.,0,0,none,0.97,0.78,supported,0
3411,biology,"Using reliable knowledge, What is the basic unit of life?",The cell,The cell is the basic structural and functional unit of life.,The answer is The atom.,"Using the retrieved evidence, The cell.",1,0,factual_error,0.23,0.81,supported,0
3412,chemistry,I need the correct answer: What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,It is commonly stated as Go.,"Using the retrieved evidence, Au.",1,0,unsupported_claim,0.14,0.79,supported,0
3413,history,"Using reliable knowledge, Which empire built the Colosseum?",The Roman Empire,The Colosseum was built during the Roman Empire.,It is commonly stated as The British Empire.,"According to the retrieved context, The Roman Empire.",1,0,contradiction,0.31,0.75,supported,0
3414,finance,I need the correct answer: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is Borrowed money that must be repaid.,The context supports this answer: Borrowed money that must be repaid.,0,0,none,0.98,0.81,supported,0
3415,health,"Using reliable knowledge, Which blood cells help fight infection?",White blood cells,White blood cells help the body fight infection.,The answer is White blood cells.,"Using the retrieved evidence, White blood cells.",0,0,none,0.96,0.93,supported,0
3416,physics,"Using reliable knowledge, What device measures temperature?",Thermometer,A thermometer measures temperature.,The answer is Voltmeter.,The context supports this answer: Thermometer.,1,0,factual_error,0.34,0.8,supported,0
3417,science,"Using reliable knowledge, What planet is known as the Red Planet?",Mars,Mars is often called the Red Planet because iron oxide on its surface gives it a reddish appearance.,Mars.,The context supports this answer: Mars.,0,0,none,0.99,0.86,supported,0
3418,finance,Can you answer this: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,It is commonly stated as A tax receipt.,"Using the retrieved evidence, A plan for income and expenses.",1,0,unsupported_claim,0.35,0.99,supported,0
3419,science,Can you answer this: What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,The nucleus.,The context supports this answer: The nucleus.,0,0,none,0.95,0.97,supported,0
3420,physics,"Using reliable knowledge, What unit is used to measure force?",Newton,Force is measured in newtons.,Newton.,"Based on the provided context, the correct answer is Newton.",0,0,none,0.98,0.73,supported,0
3421,finance,Please answer briefly: What is a recession?,A significant decline in economic activity,A recession is a significant decline in economic activity.,It is commonly stated as A short-term stock rally.,"According to the retrieved context, A significant decline in economic activity.",1,0,factual_error,0.14,0.84,supported,0
3422,chemistry,What is H2O commonly called?,Water,H2O is the chemical formula for water.,It is commonly stated as Hydrogen.,"According to the retrieved context, Water.",1,0,factual_error,0.15,0.81,supported,0
3423,history,Please answer briefly: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,"Joan of Arc, but it is sometimes confused with Cleopatra.",The context supports this answer: Joan of Arc.,1,0,partially_correct,0.62,0.86,supported,0
3424,science,Please answer briefly: What star is at the center of our solar system?,The Sun,The Sun is the star at the center of our solar system.,Earth.,"Based on the provided context, the correct answer is The Sun.",1,0,contradiction,0.15,0.77,supported,0
3425,history,"Using reliable knowledge, Who discovered America in 1492 according to traditional European accounts?",Christopher Columbus,Christopher Columbus reached the Americas in 1492 according to traditional European accounts.,It is commonly stated as Ferdinand Magellan.,"Using the retrieved evidence, Christopher Columbus.",1,0,contradiction,0.08,0.73,supported,0
3426,science,Can you answer this: What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,It is The nucleus.,"Based on the provided context, the correct answer is The nucleus.",0,0,none,0.96,0.96,supported,0
3427,geography,I need the correct answer: What is the capital of France?,Paris,Paris is the capital and most populous city of France.,It is commonly stated as Marseille.,"Using the retrieved evidence, Paris.",1,0,unsupported_claim,0.09,0.94,supported,0
3428,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,It is commonly stated as Europe.,"Based on the provided context, the correct answer is Africa.",1,0,contradiction,0.4,0.83,supported,0
3429,health,Can you answer this: Which organ filters blood to produce urine?,Kidneys,The kidneys filter blood to produce urine.,The answer is Kidneys.,"According to the retrieved context, Kidneys.",0,0,none,0.94,0.75,supported,0
3430,technology,What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.","Central Processing Unit, but it is sometimes confused with Core Processing Unit.","Based on the provided context, the correct answer is Central Processing Unit.",1,0,partially_correct,0.58,0.98,supported,0
3431,history,"Using reliable knowledge, Which empire built the Colosseum?",The Roman Empire,The Colosseum was built during the Roman Empire.,It is commonly stated as The Greek Empire.,"Based on the provided context, the correct answer is The Roman Empire.",1,0,contradiction,0.09,0.92,supported,0
3432,finance,Can you answer this: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,A plan for income and expenses.,"Using the retrieved evidence, A plan for income and expenses.",0,0,none,0.98,0.72,supported,0
3433,physics,"Using reliable knowledge, What is the speed of light in vacuum?","About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 299,792 km/s, but it is sometimes confused with About 150,000 km/s.","According to the retrieved context, About 299,792 km/s.",1,0,partially_correct,0.61,0.75,supported,0
3434,finance,I need the correct answer: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,A tax receipt.,"Using the retrieved evidence, A plan for income and expenses.",1,0,unsupported_claim,0.16,0.76,supported,0
3435,biology,Can you answer this: What molecule carries genetic information?,DNA,DNA carries genetic information in living organisms.,The answer is Protein.,The context supports this answer: DNA.,1,0,contradiction,0.26,0.93,supported,0
3436,literature,"Using reliable knowledge, Who wrote 'The Odyssey'?",Homer,Homer is traditionally credited with writing 'The Odyssey'.,The answer is Virgil.,"Based on the provided context, the correct answer is Homer.",1,0,unsupported_claim,0.35,0.99,supported,0
3437,health,Can you answer this: What is hypertension?,High blood pressure,Hypertension is another term for high blood pressure.,The answer is Low oxygen.,"Based on the context, the answer is Low oxygen.",1,1,factual_error,0.28,0.48,partially_supported,1
3438,science,Please answer briefly: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,"Photosynthesis, but it is sometimes confused with Digestion.","Using the retrieved evidence, Photosynthesis.",1,0,partially_correct,0.47,0.83,supported,0
3439,history,I need the correct answer: Who discovered America in 1492 according to traditional European accounts?,Christopher Columbus,Christopher Columbus reached the Americas in 1492 according to traditional European accounts.,The answer is Marco Polo.,"Using the retrieved evidence, Christopher Columbus.",1,0,factual_error,0.29,0.72,supported,0
3440,history,Please answer briefly: Who was the first President of the United States?,George Washington,George Washington served as the first President of the United States from 1789 to 1797.,John Adams.,"According to the retrieved context, George Washington.",1,0,unsupported_claim,0.29,0.98,supported,0
3441,science,"Using reliable knowledge, What is the center of an atom called?",The nucleus,The center of an atom is called the nucleus.,It is The nucleus.,"According to the retrieved context, The nucleus.",0,0,none,0.99,0.76,supported,0
3442,history,Can you answer this: Which empire built the Colosseum?,The Roman Empire,The Colosseum was built during the Roman Empire.,The answer is The British Empire.,"According to the retrieved context, The Roman Empire.",1,0,unsupported_claim,0.03,0.75,supported,0
3443,geography,"Using reliable knowledge, What is the capital of Japan?",Tokyo,Tokyo is the capital of Japan.,"Tokyo, but it is sometimes confused with Osaka.",The context supports this answer: Tokyo.,1,0,partially_correct,0.54,0.75,supported,0
3444,physics,What device measures temperature?,Thermometer,A thermometer measures temperature.,It is Thermometer.,"Based on the provided context, the correct answer is Thermometer.",0,0,none,0.97,0.95,supported,0
3445,chemistry,"Using reliable knowledge, What is the chemical symbol for gold?",Au,The chemical symbol for gold is Au.,It is commonly stated as Go.,The context supports this answer: Au.,1,0,contradiction,0.09,0.98,supported,0
3446,chemistry,What is H2O commonly called?,Water,H2O is the chemical formula for water.,It is Water.,The context supports this answer: Water.,0,0,none,0.98,0.73,supported,0
3447,chemistry,Please answer briefly: What is NaCl commonly known as?,Salt,NaCl is commonly known as salt.,The answer is Chlorine.,"According to the retrieved context, Salt.",1,0,factual_error,0.13,0.82,supported,0
3448,technology,Please answer briefly: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,It is HyperText Markup Language.,"Based on the context, the answer is HighText Markdown Language.",0,1,factual_error,0.15,0.76,not_supported,1
3449,finance,Please answer briefly: What is profit?,Revenue minus costs,Profit is what remains when costs are subtracted from revenue.,Total sales before costs.,"Based on the provided context, the correct answer is Revenue minus costs.",1,0,unsupported_claim,0.36,0.87,supported,0
3450,history,Please answer briefly: Which empire built the Colosseum?,The Roman Empire,The Colosseum was built during the Roman Empire.,"The Roman Empire, but it is sometimes confused with The British Empire.",The context supports this answer: The Roman Empire.,1,0,partially_correct,0.59,0.98,supported,0
3451,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,"Africa, but it is sometimes confused with Europe.","According to the retrieved context, Africa.",1,0,partially_correct,0.46,0.98,supported,0
3452,science,I need the correct answer: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,The answer is Fermentation.,The context supports this answer: Photosynthesis.,1,0,unsupported_claim,0.2,0.78,supported,0
3453,finance,"Using reliable knowledge, What is a budget?",A plan for income and expenses,A budget is a plan that tracks income and expenses.,It is commonly stated as A bank branch.,The context supports this answer: A plan for income and expenses.,1,0,unsupported_claim,0.21,0.75,supported,0
3454,technology,"Using reliable knowledge, What does RAM stand for?",Random Access Memory,RAM stands for Random Access Memory.,The answer is Random Access Memory.,"Based on the provided context, the correct answer is Random Access Memory.",0,0,none,0.98,0.81,supported,0
3455,finance,Please answer briefly: What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.",Global Development Product.,"Based on the provided context, the correct answer is Gross Domestic Product.",1,0,contradiction,0.39,0.75,supported,0
3456,science,"Using reliable knowledge, What star is at the center of our solar system?",The Sun,The Sun is the star at the center of our solar system.,The answer is Earth.,The context supports this answer: The Sun.,1,0,contradiction,0.04,0.84,supported,0
3457,history,I need the correct answer: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,"Joan of Arc, but it is sometimes confused with Queen Victoria.","Based on the provided context, the correct answer is Joan of Arc.",1,0,partially_correct,0.63,0.79,supported,0
3458,chemistry,"Using reliable knowledge, What is the pH of pure water at room temperature?",7,Pure water has a pH of 7 at room temperature.,7.,"Using the retrieved evidence, 7.",0,0,none,1.0,0.75,supported,0
3459,history,I need the correct answer: Who discovered America in 1492 according to traditional European accounts?,Christopher Columbus,Christopher Columbus reached the Americas in 1492 according to traditional European accounts.,The answer is Marco Polo.,"Based on the provided context, the correct answer is Christopher Columbus.",1,0,contradiction,0.05,0.8,supported,0
3460,history,Can you answer this: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,Joan of Arc.,"Based on the provided context, the correct answer is Joan of Arc.",0,0,none,0.91,0.8,supported,0
3461,finance,I need the correct answer: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",It is commonly stated as A stock dividend.,"Using the retrieved evidence, Borrowed money that must be repaid.",1,0,factual_error,0.07,0.93,supported,0
3462,finance,"Using reliable knowledge, What is a recession?",A significant decline in economic activity,A recession is a significant decline in economic activity.,A short-term stock rally.,"Based on the context, the answer is A short-term stock rally.",1,1,contradiction,0.49,0.67,partially_supported,1
3463,geography,Please answer briefly: What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Indian Ocean.,"Using the retrieved evidence, Pacific Ocean.",1,0,factual_error,0.13,0.78,supported,0
